name,symbol,price_usd,change,Volume_M,market_cap_B,pe_ratio
Intel Corporation,INTC,20.7,-1.93,245.078,90.604,
"Tesla, Inc.",TSLA,316.06,10.76,148.227,1018.9999999999999,188.13
NVIDIA Corporation,NVDA,173.5,-0.24,122.317,4231.0,55.79
"Lucid Group, Inc.",LCID,2.92,-0.07,75.189,8.907,
"Warner Bros. Discovery, Inc.",WBD,13.49,-0.01,74.365,33.375,
Centene Corporation,CNC,28.39,1.63,63.41,13.943,6.89
American Airlines Group Inc.,AAL,11.5,0.04,63.485,7.588,13.69
Sprott Physical Silver Trust,PSLV,12.94,-0.31,62.38,6.818,4.26
NIO Inc.,NIO,4.92,0.09,59.311,10.915,
Palantir Technologies Inc.,PLTR,158.8,3.94,57.972,374.754,721.82
QuantumScape Corporation,QS,11.97,-0.66,57.453,6.69,
"Advanced Micro Devices, Inc.",AMD,166.47,4.35,53.432,269.914,121.51
Ford Motor Company,F,11.47,0.21,46.103,45.611,9.18
"Rivian Automotive, Inc.",RIVN,14.01,0.19,51.134,16.783,
Vale S.A.,VALE,10.0,-0.23,49.781,43.721,7.25
Huntington Bancshares Incorporated,HBAN,16.84,0.2,47.061,24.686,12.57
"Hims & Hers Health, Inc.",HIMS,57.65,0.33,43.775,12.904,84.78
"Riot Platforms, Inc.",RIOT,14.54,-0.15,43.124,5.195,
Apple Inc.,AAPL,213.88,0.12,40.269,3194.0,33.31
"SoFi Technologies, Inc.",SOFI,21.2,-0.31,40.135,23.434,49.3
Alphabet Inc.,GOOGL,193.18,1.01,39.786,2341.0,20.57
KeyCorp,KEY,18.57,0.07,39.231,20.658,
"MARA Holdings, Inc.",MARA,17.25,-0.01,39.144,6.071,
ADT Inc.,ADT,8.44,-0.23,31.438,7.016,11.89
"SoundHound AI, Inc.",SOUN,11.71,-0.25,37.712,4.704,
Dow Inc.,DOW,25.51,0.44,36.852,18.083,
"Joby Aviation, Inc.",JOBY,18.1,0.59,35.573,15.231,
Pfizer Inc.,PFE,24.79,-0.13,29.272,140.94,17.96
"Robinhood Markets, Inc.",HOOD,104.85,2.92,35.638,92.522,59.91
"Super Micro Computer, Inc.",SMCI,54.47,1.95,34.308,32.509,29.6
AT&T Inc.,T,28.0,0.08,33.98,200.211,16.0
"Chipotle Mexican Grill, Inc.",CMG,46.76,1.02,33.782,62.7,41.38
Nu Holdings Ltd.,NU,12.73,-0.02,33.369,61.415,28.93
Comcast Corporation,CMCSA,33.68,-1.69,32.925,125.751,8.3
Archer Aviation Inc.,ACHR,11.21,0.22,30.198,6.154,
CSX Corporation,CSX,35.76,0.76,31.708,66.667,21.94
D-Wave Quantum Inc.,QBTS,18.87,-0.89,29.494,5.896,
B2Gold Corp.,BTG,3.47,-0.05,31.307,4.61,
Alphabet Inc.,GOOG,194.08,0.88,31.102,2341.0,20.71
Newmont Corporation,NEM,65.75,4.24,29.021,72.223,11.91
PG&E Corporation,PCG,14.08,0.23,25.472,30.943,12.92
Snap Inc.,SNAP,9.77,0.03,30.412,16.437,
"Amazon.com, Inc.",AMZN,231.44,-0.79,28.712,2457.0,37.76
Banco Bradesco S.A.,BBD,2.8,-0.04,28.59,14.786,9.33
Cleveland-Cliffs Inc.,CLF,11.44,0.53,28.145,5.659,
Kinross Gold Corporation,KGC,16.09,0.25,28.108,19.855,16.42
"Oscar Health, Inc.",OSCR,14.45,0.25,26.348,3.68,36.12
Itaú Unibanco Holding S.A.,ITUB,6.37,0.02,27.028,64.756,8.97
Full Truck Alliance Co. Ltd.,YMM,11.43,-0.4,26.144,11.955,22.86
Paramount Global,PARA,13.05,-0.21,25.567,9.211,
Grab Holdings Limited,GRAB,5.36,0.02,25.385,22.105,536.0
"AST SpaceMobile, Inc.",ASTS,54.33,-5.72,25.295,18.386,
Bank of America Corporation,BAC,48.45,0.06,20.738,360.307,14.21
"Recursion Pharmaceuticals, Inc.",RXRX,6.49,0.23,23.778,2.814,
Nokia Oyj,NOK,4.33,-0.01,23.369,23.402,22.79
Thomson Reuters Corporation,TRI,203.45,-2.09,23.377,92.824,42.74
Stellantis N.V.,STLA,10.13,0.55,21.505,29.263,
Transocean Ltd.,RIG,3.0,-0.08,20.285,2.65,
"Rigetti Computing, Inc.",RGTI,15.44,-0.51,21.368,4.983,
Hecla Mining Company,HL,6.14,-0.04,19.514,3.884,51.17
IREN Limited,IREN,17.72,-0.42,20.278,4.286,
"American Eagle Outfitters, Inc.",AEO,11.74,0.46,19.524,2.034,11.98
"Flagstar Financial, Inc.",FLG,11.39,-0.66,17.968,4.731,
Microsoft Corporation,MSFT,513.71,2.83,19.126,3818.0,39.67
Infosys Limited,INFY,17.37,-0.31,19.088,72.692,22.56
UiPath Inc.,PATH,12.18,-0.14,16.938,6.517,
Oklo Inc.,OKLO,75.5,0.91,17.935,11.127,
Regions Financial Corporation,RF,26.42,0.12,18.073,23.619,12.35
Applied Digital Corporation,APLD,10.75,-0.45,17.606,2.42,
New Gold Inc.,NGD,4.41,-0.02,16.548,3.509,24.5
"CleanSpark, Inc.",CLSK,11.82,-0.52,17.162,3.321,
Southwest Airlines Co.,LUV,33.21,-0.05,16.998,17.441,51.89
Cipher Mining Inc.,CIFR,6.47,-0.18,16.775,2.402,
"Rocket Companies, Inc.",RKT,15.0,0.14,15.7,31.66,
AGNC Investment Corp.,AGNC,9.71,0.09,16.594,10.115,26.97
Verizon Communications Inc.,VZ,43.08,0.0,10.666,181.639,10.02
UnitedHealth Group Incorporated,UNH,281.06,2.48,16.426,254.961,11.76
Bloom Energy Corporation,BE,34.34,1.28,16.34,7.975,1717.0
"Micron Technology, Inc.",MU,111.26,-0.47,16.372,124.514,20.05
"Healthpeak Properties, Inc.",DOC,17.6,-1.27,16.239,12.231,73.33
Mobileye Global Inc.,MBLY,14.82,-0.6,16.191,12.06,
Barclays PLC,BCS,19.62,0.22,15.854,69.217,9.62
Freeport-McMoRan Inc.,FCX,44.89,0.31,13.358,62.846,34.01
Ambev S.A.,ABEV,2.39,-0.03,15.917,38.137,14.06
Halliburton Company,HAL,22.45,0.03,13.941,19.141,10.54
Edwards Lifesciences Corporation,EW,80.0,4.2,15.657,46.928,33.47
Deckers Outdoor Corporation,DECK,116.85,11.91,14.733,17.462,17.95
"Kinder Morgan, Inc.",KMI,27.39,-0.03,15.216,60.863,22.45
First Majestic Silver Corp.,AG,8.57,-0.1,15.156,4.211,
IAMGOLD Corporation,IAG,7.03,-0.02,15.126,4.055,4.82
Amcor plc,AMCR,9.74,-0.02,13.797,22.318,17.39
Rocket Lab Corporation,RKLB,47.43,-0.7,14.518,22.735,
CNH Industrial N.V.,CNH,13.31,0.1,14.143,16.63,16.64
Wells Fargo & Company,WFC,84.32,0.45,14.03,271.542,14.49
"Lyft, Inc.",LYFT,14.3,-0.08,13.87,6.015,95.33
"Uber Technologies, Inc.",UBER,91.29,0.42,12.294,190.903,15.99
Uranium Energy Corp.,UEC,8.91,0.14,13.821,3.959,
Citigroup Inc.,C,96.07,0.68,12.129,176.855,14.19
"IonQ, Inc.",IONQ,43.17,-0.73,12.748,12.575,
Carnival Corporation & plc,CCL,29.75,-0.03,13.056,40.337,15.58
Walmart Inc.,WMT,97.47,0.87,12.844,777.852,41.65
"Core Scientific, Inc.",CORZ,13.76,0.07,12.81,4.179,
Teck Resources Limited,TECK,33.0,-2.12,12.487,16.286,100.0
The Coca-Cola Company,KO,69.17,0.07,12.566,297.685,24.53
The Western Union Company,WU,8.58,-0.16,11.543,2.836,3.19
Broadcom Inc.,AVGO,290.18,1.47,12.476,1365.0,106.29
Synovus Financial Corp.,SNV,49.61,-7.11,12.177,6.885,9.58
Petróleo Brasileiro S.A. - Petrobras,PBR,12.6,-0.05,10.732,78.55,9.4
First Horizon Corporation,FHN,22.81,0.59,11.996,11.61,15.84
"Avantor, Inc.",AVTR,14.21,0.2,11.935,9.683,13.66
Bristol-Myers Squibb Company,BMY,48.43,-0.51,8.751,98.559,18.07
Telefonaktiebolaget LM Ericsson (publ),ERIC,7.49,0.02,11.751,24.954,13.62
Taiwan Semiconductor Manufacturing Company Limited,TSM,245.6,4.0,11.532,1274.0,28.83
"Cisco Systems, Inc.",CSCO,68.69,0.4,11.59,272.012,28.04
Schlumberger Limited,SLB,35.47,0.23,11.457,52.91,12.15
